head,relation,tail,Label,head_id,relation_id,tail_id,prompt,response,pred_relation,true_relation,verification
Mickey Rooney,country of citizenship,Nazi Germany,0,Q104081,P27,Q7318,What is the relationship between 'Mickey Rooney' and 'Nazi Germany'?,"1. Mickey Rooney [member of] Nazi Germany; 
2. Mickey Rooney [influenced by] Nazi Germany; 
3. Relationship is ambiguous.","['member of', 'influenced by', 'relationship is ambiguous']",relationship is ambiguous,"['False. Reason: Mickey Rooney was an American actor and entertainer, not a member of Nazi Germany.', ""False. Reason: Mickey Rooney, an American actor, cannot be influenced by Nazi Germany as Nazi Germany was a regime known for its fascist ideologies and atrocities, which are not compatible or influential in the context of Mickey Rooney's career or personal life."", 'relationship is ambiguous']"
Thomas Paine,country of citizenship,France,0,Q126462,P27,Q142,What is the relationship between 'Thomas Paine' and 'France'?,"1. Thomas Paine [influenced by] France; 
2. Thomas Paine [residence] France; 
3. Thomas Paine [movement] France; 
4. Thomas Paine [practiced by] France; 
5. Thomas Paine [member of political party] France; 
6. Thomas Paine [place of burial] France; 
7. Thomas Paine [location of formation] France.","['influenced by', 'residence', 'movement', 'practiced by', 'member of political party', 'place of burial', 'location of formation']",relationship is ambiguous,"['False. Reason: Thomas Paine was influenced by the ideas of the French Revolution, but he was not influenced by the entire country of France as a single entity.', 'True. Reason: Thomas Paine lived in France for a significant period of time during the French Revolution.', 'False. Reason: Thomas Paine was a political activist and author who played a significant role in the American and French Revolutions, but the relationship between Thomas Paine and France is not specifically based on a ""movement"" in a typical sense. Paine did support the French Revolution and wrote about it, but the relationship is better described as involvement or influence rather than a direct movement led by him in France.', ""False. Reason: Thomas Paine was a political activist and philosopher known for his involvement in the American and French Revolutions, but he himself didn't practice being a country like France. Instead, he lived in various countries and played a significant role in their political events."", 'False. Reason: Thomas Paine was not a member of a political party in France. He was an English-born political activist, philosopher, and revolutionary who played a key role in the American and French Revolutions.', 'False. Reason: Thomas Paine is actually buried in the United States, at the Thomas Paine National Historical Association in New Rochelle, New York. So, he is not buried in France.', 'False. Reason: Thomas Paine was born in England and later moved to the American colonies, where he played a significant role in the American Revolution. There is no direct relationship between Thomas Paine and France in terms of location of formation.']"
Republic of the Congo,member of,International Centre for Settlement of Investment Disputes,1,Q971,P463,Q899770,What is the relationship between 'Republic of the Congo' and 'International Centre for Settlement of Investment Disputes'?,"1. Republic of the Congo [member of] International Centre for Settlement of Investment Disputes;
2. Republic of the Congo [country] International Centre for Settlement of Investment Disputes;","['member of', 'country']",member of,"['False. Reason: The Republic of the Congo is not a member of the International Centre for Settlement of Investment Disputes (ICSID). The ICSID is an autonomous international organization and Congo is not listed as a member state on the ICSID website.', 'False. Reason: The International Centre for Settlement of Investment Disputes (ICSID) is an international arbitration institution and not a country. Therefore, it does not have a direct country-to-country relationship with Republic of the Congo.']"
Marcel Proust,country of citizenship,Italy,0,Q7199,P27,Q38,What is the relationship between 'Marcel Proust' and 'Italy'?,1. Marcel Proust [visited] Italy; 2. Marcel Proust [influenced by] Italy; 3. Marcel Proust [admired] Italy; 4. Marcel Proust [wrote about] Italy; 5. Relationship is ambiguous.,"['visited', 'influenced by', 'admired', 'wrote about', 'relationship is ambiguous']",relationship is ambiguous,"['False. Reason: Marcel Proust is a French novelist who is known to have spent most of his life in France and was not known to have visited Italy during his lifetime.', 'False. Reason: Marcel Proust, a French novelist, was not influenced by Italy. His writing style and themes were more influenced by French culture, society, and his own personal experiences.', 'False. Reason: Marcel Proust was a French novelist, critic, and essayist known for his novel ""In Search of Lost Time"" (À la recherche du temps perdu). While Proust might have admired Italy or aspects of Italian culture, there is no direct and commonly known relationship between Marcel Proust and Italy that would qualify as an ""admired"" relationship in a knowledge graph.', 'False. Reason: Marcel Proust, a French novelist, is most known for his work ""In Search of Lost Time"" which is set in France and focuses on French society and culture. There is no significant connection between Marcel Proust and Italy in terms of his literary works.', 'relationship is ambiguous']"
Cambodia,continent,North America,0,Q424,P30,Q49,What is the relationship between 'Cambodia' and 'North America'?,"1. Cambodia [continent] North America; 
2. Cambodia [country of origin] North America; 
3. Relationship is ambiguous.","['continent', 'country of origin', 'relationship is ambiguous']",relationship is ambiguous,"['False. Reason: Cambodia is located in the continent of Asia, not North America.', 'False. Reason: Cambodia is not a country in North America; it is located in Southeast Asia.', 'relationship is ambiguous']"
Brad Pitt,spouse,Kirsten Dunst,0,Q35332,P26,Q76478,What is the relationship between 'Brad Pitt' and 'Kirsten Dunst'?,"1. Brad Pitt [cast member] Kirsten Dunst; 
2. Brad Pitt [colleague] Kirsten Dunst; 
3. Brad Pitt [co-star] Kirsten Dunst; 
4. Brad Pitt [actor in] Kirsten Dunst; 
5. Brad Pitt [worked with] Kirsten Dunst.","['cast member', 'colleague', 'costar', 'actor in', 'worked with']",relationship is ambiguous,"['False. Reason: Kirsten Dunst and Brad Pitt were not cast members in the same movie or TV show.', 'False. Reason: Brad Pitt and Kirsten Dunst are not known to have worked together closely as colleagues in any notable project or field.', 'False. Reason: Brad Pitt and Kirsten Dunst did not act as co-stars in any movie or TV show to the best of my knowledge.', 'False. Reason: Brad Pitt and Kirsten Dunst have not starred together in any movie or worked together in any project that would establish a direct relationship where Brad Pitt is an actor in Kirsten Dunst.', 'True. Reason: Brad Pitt and Kirsten Dunst worked together in the movie ""Interview with the Vampire"" released in 1994.']"
Slash,occupation,guitarist,1,Q34166,P106,Q855091,What is the relationship between 'Slash' and 'guitarist'?,"1. Slash [occupation] guitarist; 
2. Slash [instrument] guitarist; 
3. Slash [genre] guitarist; 
4. Slash [influenced by] guitarist; 
5. Slash [collaborated with] guitarist; 
6. Slash [band member] guitarist; 
7. Slash [known for playing with] guitarist; 
8. Relationship is ambiguous.","['occupation', 'instrument', 'genre', 'influenced by', 'collaborated with', 'band member', 'known for playing with', 'relationship is ambiguous']",occupation,"['True. Reason: Generally, a person\'s occupation can be ""guitarist"" if they play the guitar professionally.', 'True. Reason: A guitarist commonly plays a musical instrument such as a guitar, so the relationship between a guitarist and the instrument they play is typically true.', 'False. Reason: A guitarist is typically associated with playing music, while a genre is a category or style of music. The relationship between a guitarist and a genre is that a guitarist can play in a certain genre, but they are not directly related through a ""genre"" relationship.', 'True. Reason: It is common for a musician to be influenced by other musicians, including guitarists. Many musicians look up to and are inspired by other artists in their field.', ""False. Reason: A 'slash' is not typically related to collaboration with another guitarist in a musical context. Slash is a famous guitarist known for his work in bands like Guns N' Roses and Velvet Revolver."", 'False. Reason: A band member can be a guitarist, but not all band members are necessarily guitarists. So, the relationship is not always true.', 'False. Reason: It is uncommon to describe a relationship as ""known for playing with"" when referring to a guitarist. In general, relationships between entities in a knowledge graph are more likely to be based on common patterns such as ""plays in a band with"" or ""collaborated with"", rather than ""known for playing with"".', 'relationship is ambiguous']"
Hugo Huppert,occupation,playwright,0,Q86820,P106,Q214917,What is the relationship between 'Hugo Huppert' and 'playwright'?,"1. Hugo Huppert [Occupation] Playwright; 
2. Hugo Huppert [Field of work] Playwright; 
3. Hugo Huppert [Practiced by] Playwright.","['occupation', 'field of work', 'practiced by']",relationship is ambiguous,"['False. Reason: Hugo Huppert is not a widely recognized playwright, so it is unlikely that he is primarily known for being a playwright.', 'False. Reason: Hugo Huppert is not a well-known playwright in common knowledge.', 'False. Reason: Playwrights are not typically the ones who practice a profession or skill, but rather they are the ones who write plays. A more appropriate relationship would be ""playwright"" [is written by] ""Hugo Huppert"".']"
Christa Wolf,"languages spoken, written, or signed",Latin,0,Q57382,P1412,Q397,What is the relationship between 'Christa Wolf' and 'Latin'?,1. Christa Wolf [educated at] Latin; 2. Christa Wolf [spoken in] Latin; 3. Christa Wolf [written in] Latin,"['educated at', 'spoken in', 'written in']",relationship is ambiguous,"['False. Reason: Christa Wolf was a German writer, not a student or an individual who would have been formally educated in the subject of Latin.', 'False. Reason: Christa Wolf was a German author who wrote in German. Latin is not a language she was known for speaking or writing in.', 'False. Reason: Christa Wolf was a German author who primarily wrote in German, not Latin.']"
Joan Baez,field of work,opera,0,Q131725,P101,Q1344,What is the relationship between 'Joan Baez' and 'opera'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Dalida,country of citizenship,Australia,0,Q539171,P27,Q408,What is the relationship between 'Dalida' and 'Australia'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Jean-Luc Godard,occupation,actor,1,Q53001,P106,Q33999,What is the relationship between 'Jean-Luc Godard' and 'actor'?,"1. Jean-Luc Godard [influenced by] actor. 
2. Jean-Luc Godard [cast member] actor. 
3. Relationship is ambiguous.","['influenced by', 'cast member', 'relationship is ambiguous']",occupation,"['False. Reason: Jean-Luc Godard is a famous French-Swiss film director, screenwriter, and producer known for his work in the French New Wave movement. He is not primarily known for being influenced by actors, but rather for his innovative filmmaking techniques and unique style.', 'False. Reason: Jean-Luc Godard is a film director, not an actor. He is known for his work behind the camera rather than in front of it.', 'relationship is ambiguous']"
Douglas Fairbanks,genre,science fiction,0,Q104127,P136,Q24925,What is the relationship between 'Douglas Fairbanks' and 'science fiction'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Israel,official language,English,0,Q801,P37,Q1860,What is the relationship between 'Israel' and 'English'?,"1. Israel [official language] English; 
2. Israel [languages spoken, written, or signed] English; 
3. Israel [country] English; 
4. Israel [place of birth] English; 
5. Israel [residence] English; 
6. Israel [location of formation] English; 
7. Israel [named after] English; 
8. Israel [practiced by] English.","['official language', 'languages spoken, written, or signed', 'country', 'place of birth', 'residence', 'location of formation', 'named after', 'practiced by']",relationship is ambiguous,"['True. Reason: English is one of the official languages of Israel, alongside Hebrew.', 'True. Reason: English is one of the official languages spoken in Israel alongside Hebrew.', 'False. Reason: Israel is a country located in the Middle East, while English is a language spoken in various countries including Israel. There is no direct relationship between Israel as a country and the English language.', 'False. Reason: Israel is a country, not a person, so it cannot be the place of birth for a language like English.', 'False. Reason: Israel is a country, while English is a language. People can reside in Israel, but English cannot reside in Israel as it is an inanimate object.', 'False. Reason: Israel is a country located in the Middle East, while English is a language. Israel is not the location of formation of the English language.', 'False. Reason: Israel is not named after English. The name ""Israel"" has its origins in the Hebrew language and references the biblical figure Jacob, who was given the name Israel.', 'False. Reason: English is a language and not a country or entity, so it does not make sense for Israel to practice English.']"
Richard Dawkins,country of citizenship,United Kingdom,1,Q44461,P27,Q145,What is the relationship between 'Richard Dawkins' and 'United Kingdom'?,"1. Richard Dawkins [country of citizenship] United Kingdom; 
2. Richard Dawkins [place of birth] United Kingdom; 
3. Richard Dawkins [residence] United Kingdom; 
4. Richard Dawkins [educated at] Universities in the United Kingdom; 
5. Richard Dawkins [influenced by] British intellectual tradition;
6. Richard Dawkins [movement] British secular movement;","['country of citizenship', 'place of birth', 'residence', 'educated at', 'influenced by', 'movement']",country of citizenship,"['True. Reason: Richard Dawkins is a British evolutionary biologist, ethologist, and author who was born in Kenya but became a naturalized British citizen.', 'True. Reason: Richard Dawkins was born in Nairobi, Kenya, but he is a British evolutionary biologist, so it is reasonable to say that he is associated with the United Kingdom as his place of birth.', 'True. Reason: Richard Dawkins is a British ethologist, evolutionary biologist, and author, who was born in Kenya but has been associated with the United Kingdom for most of his career. He has lived in the UK and held academic positions at British universities.', 'False. Reason: Richard Dawkins is a person, not a location, so it does not make sense for him to be educated at a country like the United Kingdom.', 'False. Reason: Richard Dawkins is a British evolutionary biologist and author, so he is not influenced by the United Kingdom as a country.', ""False. Reason: Richard Dawkins is a British evolutionary biologist and author, but the relationship stated in the question ('movement') does not logically connect him to the United Kingdom in a direct manner.""]"
Hayley Kiyoko,country of citizenship,Belarus,0,Q239195,P27,Q184,What is the relationship between 'Hayley Kiyoko' and 'Belarus'?,"1. Hayley Kiyoko [country of citizenship] Belarus; 
2. Hayley Kiyoko [place of birth] Belarus.","['country of citizenship', 'place of birth']",relationship is ambiguous,"['False. Reason: Hayley Kiyoko is an American singer, songwriter, and actress, not from Belarus.', 'False. Reason: Hayley Kiyoko is an American singer, songwriter, and actress, so it is not logically correct to say she was born in Belarus.']"
East Timor,official language,Spanish,0,Q574,P37,Q1321,What is the relationship between 'East Timor' and 'Spanish'?,"1. East Timor [official language] Spanish. 
2. East Timor [former colonial rulers] Spanish.","['official language', 'former colonial rulers']",relationship is ambiguous,"['False. Reason: The official languages of East Timor are Tetum and Portuguese, not Spanish.', 'False. Reason: Spain was not the former colonial ruler of East Timor. East Timor was a Portuguese colony until it gained independence in 1975.']"
Joni Mitchell,occupation,guitarist,1,Q205721,P106,Q855091,What is the relationship between 'Joni Mitchell' and 'guitarist'?,"1. Joni Mitchell [instrument] guitarist; 
2. Joni Mitchell [occupation] guitarist; 
3. Joni Mitchell [influenced by] guitarist; 
4. Joni Mitchell [genre] guitarist; 
5. Joni Mitchell [founded by] guitarist; 
6. Joni Mitchell [practiced by] guitarist.","['instrument', 'occupation', 'influenced by', 'genre', 'founded by', 'practiced by']",occupation,"['False. Reason: Joni Mitchell is a folk singer-songwriter and not primarily known as a guitarist. Although she does play the guitar, her skills as a guitarist are not her defining characteristic.', 'False. Reason: Joni Mitchell is primarily known as a singer-songwriter and not specifically as a guitarist. While she does play the guitar, her occupation is typically described as a musician or singer-songwriter.', 'False. Reason: Joni Mitchell is a singer-songwriter and not a guitarist. Although she is capable of playing the guitar herself, she is primarily known for her singing and songwriting abilities.', 'False. Reason: Joni Mitchell is a singer-songwriter and not specifically a guitarist. While she does play guitar, her primary identity in the music industry is as a singer and songwriter.', 'False. Reason: Joni Mitchell is a singer-songwriter and not a band or organization that can be founded by someone else, such as a guitarist.', 'False. Reason: ""Practiced by"" implies that Joni Mitchell is the one being practiced by the guitarist, which does not make sense in this context. It would be more accurate to say ""Joni Mitchell is a guitarist"" or ""Joni Mitchell plays the guitar"".']"
Mikhail Vassilyevich Lomonosov,occupation,politician,1,Q58720,P106,Q82955,What is the relationship between 'Mikhail Vassilyevich Lomonosov' and 'politician'?,Relationship is ambiguous,['relationship is ambiguous'],occupation,['relationship is ambiguous']
Aaron Copland,genre,alternative rock,0,Q192185,P136,Q11366,What is the relationship between 'Aaron Copland' and 'alternative rock'?,Relationship is ambiguous,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Walt Disney Records,founded by,China Anne McClain,0,Q54860,P112,Q230943,What is the relationship between 'Walt Disney Records' and 'China Anne McClain'?,"1. Walt Disney Records [record label] China Anne McClain; 
2. Walt Disney Records [employer] China Anne McClain; 
3. Walt Disney Records [cast member] China Anne McClain.","['record label', 'employer', 'cast member']",relationship is ambiguous,"['False. Reason: Walt Disney Records is a record label owned by The Walt Disney Company, which may have released music by China Anne McClain, but they are not directly related in terms of a specific record label relationship.', 'False. Reason: Walt Disney Records is a record label and does not typically act as an employer for individual artists such as China Anne McClain. Instead, Walt Disney Records may sign recording contracts with artists like China Anne McClain to release their music.', 'False. Reason: Walt Disney Records is a record label and China Anne McClain is an actress and singer. The relationship ""cast member"" would typically involve actors in movies, TV shows, or plays, not a record label and an artist.']"
George Martin,occupation,musicologist,0,Q191819,P106,Q14915627,What is the relationship between 'George Martin' and 'musicologist'?,"1. George Martin [occupation] musicologist; 
2. George Martin [influenced by] musicologist; 
3. Relationship is ambiguous.","['occupation', 'influenced by', 'relationship is ambiguous']",relationship is ambiguous,"['False. Reason: George Martin is known for his work as a record producer, arranger, composer, conductor, audio engineer, and musician, not as a musicologist.', 'False. Reason: George Martin is a music producer, not a musicologist who studies music. Thus, it is unlikely that he would be directly influenced by a musicologist.', 'relationship is ambiguous']"
Suriname,member of,Universal Postal Union,1,Q730,P463,Q17495,What is the relationship between 'Suriname' and 'Universal Postal Union'?,"1. Suriname [member of] Universal Postal Union; 
2. Suriname [country] Universal Postal Union; 
Relationship is ambiguous.","['member of', 'country', 'relationship is ambiguous']",member of,"['True. Reason: Countries are typically members of organizations like the Universal Postal Union for international postal cooperation.', 'False. Reason: The Universal Postal Union is an organization and not a country, so there is no direct relationship between Suriname and the Universal Postal Union in terms of being a country.', 'relationship is ambiguous']"
Jack White,instrument,mandolin,1,Q272031,P1303,Q302497,What is the relationship between 'Jack White' and 'mandolin'?,"1. Jack White [instrument] mandolin; 
2. Jack White [genre] mandolin; 
3. Jack White [influenced by] mandolin; 
4. Jack White [practiced by] mandolin; 
5. Jack White [founded by] mandolin; 
6. Jack White [record label] mandolin; 
7. Jack White [instrument] mandolin; 
8. Jack White [member of] mandolin; 
9. Jack White [field of work] mandolin; 
10. Relationship is ambiguous.","['instrument', 'genre', 'influenced by', 'practiced by', 'founded by', 'record label', 'instrument', 'member of', 'field of work', 'relationship is ambiguous']",instrument,"['False. Reason: Jack White is known for playing the guitar, drums, and piano, but not specifically the mandolin.', 'False. Reason: Jack White is known for playing the guitar, drums, and piano, but not the mandolin.', 'False. Reason: Jack White is a musician known for playing guitar, drums, and singing, not mandolin. Therefore, it is unlikely that he is influenced by a mandolin.', 'False. Reason: Jack White is a musician known for playing the guitar, drums, and piano, but he is not known for playing the mandolin.', 'False. Reason: It does not make sense for a person (Jack White) to be founded by an inanimate object (mandolin). The relationship given is not logical in a knowledge graph based on common sense.', 'False. Reason: A record label does not have a direct relationship with a musical instrument like a mandolin. The relationship should involve entities like musicians, bands, or albums instead.', 'False. Reason: Jack White is known for playing the guitar, drums, and piano, but he is not typically associated with playing the mandolin.', 'False. Reason: Jack White is a musician known for his work as a guitarist, singer, and songwriter, not as a mandolin player.', 'False. Reason: Jack White is a musician known for playing the guitar, drums, and piano, but not specifically the mandolin.', 'relationship is ambiguous']"
Spain,diplomatic relation,Germany,1,Q29,P530,Q183,What is the relationship between 'Spain' and 'Germany'?,"1. Spain [country] Germany;
2. Spain [neighbor of] Germany;
3. Spain [member of European Union] Germany;
4. Spain [trade partner with] Germany;
5. Spain [diplomatic relation] Germany;
6. Spain [part of NATO with] Germany;
7. Spain [participant in UEFA European Championship with] Germany;","['country', 'neighbor of', 'member of european union', 'trade partner with', 'diplomatic relation', 'part of nato with', 'participant in uefa european championship with']",diplomatic relation,"['True. Reason: Spain and Germany are both countries, so it is reasonable to say that Spain is a country and Germany is a country.', 'True. Reason: Based on common sense, Spain and Germany are neighboring countries in Europe, sharing a border.', 'True. Reason: Both Spain and Germany are member states of the European Union, making the statement true.', 'True. Reason: Spain and Germany are both countries in Europe and are known to have strong trade relations with each other.', 'True. Reason: It is common for countries to have diplomatic relations with each other, and Spain and Germany are both European countries with established diplomatic ties.', 'False. Reason: Spain is a member of NATO, but Germany is also a member of NATO. They are both independent member countries of NATO and not part of each other in terms of the membership relationship.', 'True. Reason: Both Spain and Germany are European countries that participate in the UEFA European Championship, a major international football competition held every four years.']"
"William Thomson, 1st Baron Kelvin",member of,Royal Society of Edinburgh,1,Q122701,P463,Q117467,"What is the relationship between 'William Thomson, 1st Baron Kelvin' and 'Royal Society of Edinburgh'?","1. William Thomson, 1st Baron Kelvin [Member of] Royal Society of Edinburgh; 
2. William Thomson, 1st Baron Kelvin [Educated at] Royal Society of Edinburgh.","['member of', 'educated at']",member of,"['True. Reason: William Thomson, 1st Baron Kelvin was indeed a member of the Royal Society of Edinburgh, as he was elected as a Fellow of the society in 1859.', 'False. Reason: The Royal Society of Edinburgh is not an educational institution, but rather a learned society for professional scholars. William Thomson, 1st Baron Kelvin, was not formally educated at the Royal Society of Edinburgh.']"
Charles Aznavour,"languages spoken, written, or signed",German,1,Q1785,P1412,Q188,What is the relationship between 'Charles Aznavour' and 'German'?,"1. Charles Aznavour [country of citizenship] Germany; 
2. Charles Aznavour [languages spoken, written, or signed] German; 
3. Charles Aznavour [place of birth] Germany.","['country of citizenship', 'languages spoken, written, or signed', 'place of birth']","languages spoken, written, or signed","['False. Reason: Charles Aznavour was not of German citizenship, he was actually of Armenian and French citizenship.', 'False. Reason: Charles Aznavour was a French Armenian singer, lyricist, actor, and diplomat who was primarily known for his work in French. While he may have known multiple languages, there is no strong association between him and the German language.', 'False. Reason: Charles Aznavour was born in Paris, France, not in Germany.']"
Georg Christoph Lichtenberg,occupation,writer,1,Q57554,P106,Q36180,What is the relationship between 'Georg Christoph Lichtenberg' and 'writer'?,1. Georg Christoph Lichtenberg [occupation] writer.,['occupation'],occupation,"['True. Reason: Georg Christoph Lichtenberg was a German scientist, satirist, and Anglophile. He was known for his aphorisms and satirical writings, which are characteristics of a writer.']"
J. J. Abrams,country of citizenship,Russian Empire,0,Q188137,P27,Q34266,What is the relationship between 'J. J. Abrams' and 'Russian Empire'?,"1. J. J. Abrams [Occupation] Russian Empire; 
2. J. J. Abrams [Influenced by] Russian Empire; 
3. J. J. Abrams [Named after] Russian Empire.","['occupation', 'influenced by', 'named after']",relationship is ambiguous,"['False. Reason: J. J. Abrams is a contemporary American filmmaker and not associated with the Russian Empire, which ceased to exist in 1917.', ""False. Reason: J. J. Abrams, an American filmmaker, is unlikely to be directly influenced by the Russian Empire, which existed in the past and has a historical context different from Abrams' field of work."", 'False. Reason: J.J. Abrams is a contemporary American filmmaker and producer, so he cannot be named after the historical Russian Empire.']"
Miles Davis,record label,Capitol Records,1,Q93341,P264,Q193023,What is the relationship between 'Miles Davis' and 'Capitol Records'?,1. Miles Davis [record label] Capitol Records.,['record label'],record label,"['False. Reason: Miles Davis was primarily associated with Columbia Records throughout his career, not Capitol Records.']"
Serbia,diplomatic relation,Turkey,1,Q403,P530,Q43,What is the relationship between 'Serbia' and 'Turkey'?,"1. Serbia [diplomatic relation] Turkey; 
2. Serbia [neighbor of] Turkey; 
3. Serbia [trade partner with] Turkey; 
4. Serbia [member of] Turkey; 
5. Serbia [migration partner with] Turkey; 
6. Serbia [part of] Turkey; 
7. Serbia [influenced by] Turkey; 
8. Serbia [residence] Turkey; 
9. Serbia [member of political party] Turkey; 
10. Serbia [practiced by] Turkey.","['diplomatic relation', 'neighbor of', 'trade partner with', 'member of', 'migration partner with', 'part of', 'influenced by', 'residence', 'member of political party', 'practiced by']",diplomatic relation,"['True. Reason: It is common knowledge that countries typically have diplomatic relations with each other. Serbia and Turkey are both countries, so it is likely that they have diplomatic relations.', 'True. Reason: Serbia and Turkey are neighboring countries located in Southeast Europe and Southwest Asia, respectively.', 'True. Reason: Serbia and Turkey have a history of trade relations based on various agreements and trade volumes between the two countries.', 'False. Reason: Serbia is not a member of Turkey. Both countries are separate sovereign states and not part of a union or federation where one can be a member of the other.', 'False. Reason: Serbia is not a migration partner with Turkey based on common knowledge.', 'False. Reason: Serbia is not a part of Turkey. Serbia is a separate country located in the Balkans region of Europe, while Turkey is a transcontinental country located in both Europe and Asia.', 'False. Reason: Serbia is not historically known to be significantly influenced by Turkey.', 'False. Reason: Residence typically refers to where a person lives, not countries. It is not appropriate to say that Serbia is the residence of Turkey.', 'False. Reason: Countries like Serbia and Turkey are not typically described in terms of being ""members of a political party"". It would be more appropriate to describe their relationship in terms of diplomatic relations, trade agreements, or geographical proximity.', 'False. Reason: Serbia and Turkey are two different countries that have their own independent governments, cultures, and histories. It does not make sense to say that one country is ""practiced by"" another country.']"
Kurt Weill,ethnic group,English people,0,Q55004,P172,Q42406,What is the relationship between 'Kurt Weill' and 'English people'?,1. Kurt Weill [influenced by] English people; 2. Kurt Weill [genre] English people; 3. Kurt Weill [record label] English people; 4. Kurt Weill [founded by] English people; 5. Relationship is ambiguous.,"['influenced by', 'genre', 'record label', 'founded by', 'relationship is ambiguous']",relationship is ambiguous,"['False. Reason: Kurt Weill, a German composer, was influenced by various musicians and styles, but not specifically by English people.', 'False. Reason: Kurt Weill is a German composer known for his works in the genre of music theater and opera, while English people is a term referring to the residents of England. There is no direct relationship between Kurt Weill and English people based on common knowledge.', 'False. Reason: Kurt Weill was a German composer and English people refer to individuals from England, so there is no direct relationship in terms of being associated with a record label.', 'False. Reason: Kurt Weill was a German composer and is not associated with being founded by English people.', 'relationship is ambiguous']"
Belarus,member of,International Telecommunication Union,1,Q184,P463,Q376150,What is the relationship between 'Belarus' and 'International Telecommunication Union'?,1. Belarus [Member of] International Telecommunication Union.,['member of'],member of,['False. Reason: Belarus is a member of the International Telecommunication Union (ITU) as of 1993.']
Heinrich Wilhelm Gottfried von Waldeyer-Hartz,member of,German Academy of Sciences Leopoldina,1,Q76772,P463,Q543804,What is the relationship between 'Heinrich Wilhelm Gottfried von Waldeyer-Hartz' and 'German Academy of Sciences Leopoldina'?,"1. Heinrich Wilhelm Gottfried von Waldeyer-Hartz [member of] German Academy of Sciences Leopoldina; 
2. Heinrich Wilhelm Gottfried von Waldeyer-Hartz [educated at] German Academy of Sciences Leopoldina; 
3. Heinrich Wilhelm Gottfried von Waldeyer-Hartz [influenced by] German Academy of Sciences Leopoldina; 
4. Heinrich Wilhelm Gottfried von Waldeyer-Hartz [founded by] German Academy of Sciences Leopoldina.","['member of', 'educated at', 'influenced by', 'founded by']",member of,"['True. Reason: Heinrich Wilhelm Gottfried von Waldeyer-Hartz was indeed a member of the German Academy of Sciences Leopoldina, a prestigious scientific organization in Germany.', 'False. Reason: Heinrich Wilhelm Gottfried von Waldeyer-Hartz was a German anatomist and the relationship ""educated at"" is not appropriate in this context. The German Academy of Sciences Leopoldina is a scientific society and not an educational institution where individuals are traditionally educated.', 'False. Reason: Heinrich Wilhelm Gottfried von Waldeyer-Hartz was a German anatomist and pathologist known for his work on nerve cells and famous for the term ""neuron doctrine"". He was not influenced by the German Academy of Sciences Leopoldina, which is one of the oldest academies of science in the world, but rather he was a member of it and contributed to its activities.', ""False. Reason: Heinrich Wilhelm Gottfried von Waldeyer-Hartz was a German anatomist and the relationship 'founded by' would typically not be used for an individual in relation to an academy.""]"
Avril Lavigne,instrument,piano,1,Q30449,P1303,Q5994,What is the relationship between 'Avril Lavigne' and 'piano'?,1. Avril Lavigne [instrument] piano,['instrument'],instrument,"['False. Reason: Avril Lavigne is known for playing the guitar, not the piano.']"
São Tomé and Príncipe,continent,Oceania,0,Q1039,P30,Q538,What is the relationship between 'São Tomé and Príncipe' and 'Oceania'?,Relationship is ambiguous.,['relationship is ambiguous'],relationship is ambiguous,['relationship is ambiguous']
Pat Boone,occupation,singer,1,Q342778,P106,Q177220,What is the relationship between 'Pat Boone' and 'singer'?,1. Pat Boone [occupation] singer.,['occupation'],occupation,"['True. Reason: Pat Boone is a well-known singer, so it is a common knowledge that his occupation is a singer.']"
New Zealand,official language,Spanish,0,Q664,P37,Q1321,What is the relationship between 'New Zealand' and 'Spanish'?,"1. New Zealand [languages spoken, written, or signed] Spanish; 
2. New Zealand [official language] Spanish; 
3. New Zealand [country] Spanish.","['languages spoken, written, or signed', 'official language', 'country']",relationship is ambiguous,"['False. Reason: Spanish is not a widely spoken language in New Zealand. The official languages of New Zealand are English and Te Reo Māori. While Spanish may be spoken by some individuals in New Zealand, it is not a dominant or official language in the country.', 'False. Reason: The official language of New Zealand is English, not Spanish.', 'False. Reason: New Zealand is not a Spanish-speaking country, so it is unlikely that New Zealand and Spanish have a direct relationship in terms of nationality.']"
Melissa Auf der Maur,occupation,model,1,Q254510,P106,Q4610556,What is the relationship between 'Melissa Auf der Maur' and 'model'?,1. Melissa Auf der Maur [occupation] model; 2. Melissa Auf der Maur [cast member] model.,"['occupation', 'cast member']",occupation,"['True. Reason: Melissa Auf der Maur has worked as a model in addition to being a musician and photographer.', 'False. Reason: Melissa Auf der Maur is primarily known for being a musician and a photographer, not a model.']"
